name,address,number_,geo_point_2d,latitud,longitud
190_CTRA_MALILLA,Cra. Malilla - Bulevar Sur,190,"39.44608224133691,-0.38029642271654757",39.44608224133691,-0.38029642271654757
191_CTRA_MALILLA,Esparraguera - Cra. Malilla,191,"39.45032925434954,-0.37886641388495107",39.45032925434954,-0.37886641388495107
192_CTRA_MALILLA,Cra. Malilla - Oltá,192,"39.45263726161547,-0.3787144113919625",39.45263726161547,-0.3787144113919625
193_CALLE_CARTEROS,Uruguay - Carteros,193,"39.45514627443484,-0.386718436578698",39.45514627443484,-0.386718436578698
194_ESTACION_AVE_JOAQUIN_SOROLLA,Estación AVE Joaquín Sorolla,194,"39.461018290993636,-0.38097441235847007",39.461018290993636,-0.38097441235847007
195_CALLE_GIORGETA,Giorgeta - Roig de Corella,195,"39.459384287208486,-0.3842814248129742",39.459384287208486,-0.3842814248129742
196_AVDA_GASPAR_AGUILAR,Jerónimo Muñoz - Gaspar Aguilar,196,"39.45957528956863,-0.3880664379854734",39.45957528956863,-0.3880664379854734
197_CALLE_FONTANARS_DELS_AFORINS,Fontanars dels Aforins - Jacinto Labaila,197,"39.458184286737165,-0.39233345436447337",39.458184286737165,-0.39233345436447337
198_CALLE_FONTANARS_DELS_AFORINS,Fontanars dels Aforins - Vall d'Uixó,198,"39.46088029740053,-0.395316462028443",39.46088029740053,-0.395316462028443
199_CALLE_BEATO_NICOLAS_FACTOR,Beato Nicolás Factor - Convento de Jesús,199,"39.46158829801141,-0.39155844823975844",39.46158829801141,-0.39155844823975844
002_CALLE_SALVADOR_GINER_CALLE_MUSEO,Salvador Giner - C. Museo,2,"39.479889353348874,-0.3797483936090024",39.479889353348874,-0.3797483936090024
020_FERNANDO_EL_CATOLICO_CALLE_QUART,Quart - Fernando el Católico,20,"39.47503434099054,-0.3878474253260651",39.47503434099054,-0.3878474253260651
200_AVDA_DEL_CID,Av. del Cid - Julián Peña,200,"39.467737319045916,-0.3932144497376184",39.467737319045916,-0.3932144497376184
201_AVDA_PEREZ_GALDOS,Perez Galdós - Nou Moles,201,"39.47171233289752,-0.39366844724894096",39.47171233289752,-0.39366844724894096
202_PASEO_PECHINA,Pechina - Teruel,202,"39.47622234753723,-0.39333444304417053",39.47622234753723,-0.39333444304417053
203_CALLE_REINA_VIOLANTE,Reina Violante - Escultor García Mas,203,"39.48460937883364,-0.40118246297404103",39.48460937883364,-0.40118246297404103
204_AVDA_GENERAL_AVILES,Corts Valencianes - General Avilés,204,"39.485843380594176,-0.3965874461307865",39.485843380594176,-0.3965874461307865
205_CALLE_NICASIO_BENLLOCH,Nicasio Benlloch - Amics dels Corpus,205,"39.48928739053543,-0.3930904323547156",39.48928739053543,-0.3930904323547156
